appName,coreF,memF,argNo,time/us,power/W,GFLOPS,GFLOPS/W
conv-sgemm,800,3500,input00,51261.0,134.710925,565.5572315795634,4.1983026364013423
conv-sgemm,800,3800,input00,51282.0,136.37902500000001,565.3256356616357,4.1452535363237537
conv-winograd,1000,2100,input00,12246.0,140.51872499999999,2367.387657030867,16.84748888114995
conv-winograd,1000,2500,input00,10592.0,153.1284,2737.0684712990937,17.874335990574536
conv-winograd,1000,3000,input00,9859.0,161.03875000000002,2940.5648897454103,18.259983325413355
conv-winograd,1000,3500,input00,9812.0,163.979175,2954.650351406441,18.018448692685769
conv-winograd,1000,3800,input00,9874.0,167.89272500000001,2936.097756532307,17.487939138115166
conv-winograd,1126,2100,input00,9609.0,162.16325000000001,3017.0703765220105,18.605142512388042
conv-winograd,1126,2500,input00,10670.0,162.3716,2717.059910777882,16.733590792834967
conv-winograd,1126,3000,input00,9266.0,169.87685000000002,3128.753426289661,18.417773971495592
conv-winograd,1126,3500,input00,9640.0,174.12954999999999,3007.368179253112,17.27086631334608
conv-winograd,1126,3800,input00,8985.0,174.77500000000001,3226.603143906511,18.461468424583096
conv-winograd,1300,2100,input00,10171.0,189.976,2850.3617390620393,15.003799106529453
conv-winograd,1300,2500,input00,9110.0,185.78937500000001,3182.330323600439,17.128699225132969
conv-winograd,1300,3000,input00,8970.0,184.12245000000001,3231.9988013377924,17.553529193956479
conv-winograd,1300,3500,input00,9001.0,182.98939999999999,3220.867597822464,17.601388921011075
conv-winograd,1300,3800,input00,8845.0,183.41819999999998,3277.6743072922554,17.869951331395988
conv-winograd,600,2100,input00,15903.0,117.96979999999999,1822.9912122241087,15.453032998480195
conv-winograd,600,2500,input00,15756.0,121.48777499999998,1839.9993175932977,15.145551209521271
conv-winograd,600,3000,input00,15444.0,123.1532,1877.171020979021,15.242567963958882
conv-winograd,600,3500,input00,16348.0,123.71177499999999,1773.3685617812575,14.334678827308538
conv-winograd,600,3800,input00,15912.0,125.32035,1821.9601085972852,14.53842180138569
conv-winograd,800,2100,input00,13993.0,129.44762499999999,2071.8237152862143,16.005111837982462
conv-winograd,800,2500,input00,12214.0,139.55799999999999,2373.590080890781,17.007911269083685
conv-winograd,800,3000,input00,11700.0,145.18882500000001,2477.8657476923077,17.066504585957684
conv-winograd,800,3500,input00,12230.0,146.28267499999998,2370.4848117743254,16.204822695335082
conv-winograd,800,3800,input00,12214.0,147.77747500000001,2373.590080890781,16.061920674248771
